"cost0","cost1","c1_fraction","replicate","metadata","total_length","euclidean","sinuosity","total_cost","cells_open","cells_closed"
1,3.5,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",90.4264068711929,74.2024258363566,1.21864488730619,4473.58300931771,18,89
1,4,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",99.0832611206852,79.4040301244213,1.24783667737554,4107.74044457232,8,83
1,4.5,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",113.426406871193,89.0898422941695,1.27316879175367,7260.98737273607,14,96
1,5,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",135.267027304759,113.846387733647,1.18815387995644,8843.50843399963,15,101
1,5.5,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",109.39696961967,90.5096679918781,1.20867717280199,7313.62242811635,19,114
1,6,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",109.953318805774,91.0219753685889,1.20798651491053,5398.37746371959,10,86
1,1,0.6,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",98.1959594928933,93.6002136749698,1.04909973639465,3522.7744545788,60,16
1,1.5,0.6,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",112.468037431535,101.548018198289,1.10753552286883,8696.78678275334,48,93
1,2,0.6,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",107.710678118655,98.0051019080129,1.09903133634565,5889.16242877415,22,66
1,2.5,0.6,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA,NA,NA
1,3,0.6,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",126.195959492893,101.316336293808,1.24556378674153,9952.84728628619,30,122
1,3.5,0.6,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",124.852813742386,109.48059188733,1.14041047449649,9693.69720125866,33,126
1,4,0.6,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",124.39696961967,104.809350727881,1.18688808542135,6633.89052995205,10,99
1,4.5,0.6,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",106.811183182043,86.0929730001235,1.24064925928263,5574.23990819007,19,78
1,5,0.6,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",85.8406204335659,65.299310869258,1.3145716132508,6192.9209434894,33,66
