"","cost1","cost2","replicate","metadata","total_length","euclidean","sinuosity","total_cost"
"50",1,2,13,"targ0.8_cl_size5_r_size5",99.1543289325507,88.5889383614004,1.11926309047805,5070.08693758851
"51",1,4,13,"targ0.8_cl_size5_r_size5",111.39696961967,93.7763296360014,1.18790072134476,11191.3056644351
"52",1,8,13,"targ0.8_cl_size5_r_size5",116.154328932551,74.5184540902453,1.55873240193473,12702.7250142015
"53",1,1,14,"targ0.8_cl_size5_r_size5",67.8406204335659,63.1347764706584,1.07453647935373,2768.00872710171
"54",1,2,14,"targ0.8_cl_size5_r_size5",122.02438661764,109.48059188733,1.11457551072814,8426.37245485323
"55",1,4,14,"targ0.8_cl_size5_r_size5",131.953318805774,96.8968523740581,1.36179159149964,10330.6381469347
"56",1,8,14,"targ0.8_cl_size5_r_size5",NA,NA,NA,NA
"57",1,1,15,"targ0.8_cl_size5_r_size5",101.882250993909,95.0157881617576,1.0722665460656,6209.3445815005
"58",1,2,15,"targ0.8_cl_size5_r_size5",99.3675323681471,92.7631392310545,1.07119630913571,5390.20713757315
"59",1,4,15,"targ0.8_cl_size5_r_size5",137.296464556282,117.379725676967,1.16967784482753,21204.8538085638
"60",1,8,15,"targ0.8_cl_size5_r_size5",100.840620433566,85.7263086805912,1.17630890663086,16928.0551097684
"61",1,1,16,"targ0.8_cl_size5_r_size5",85.1248916810278,81.8352002502591,1.04019897819897,4765.0225048373
"62",1,2,16,"targ0.8_cl_size5_r_size5",113.639610306789,99.569071503153,1.14131435184861,9671.43707733717
"63",1,4,16,"targ0.8_cl_size5_r_size5",129.468037431535,104.235310715707,1.2420746534219,19442.0013168086
"64",1,8,16,"targ0.8_cl_size5_r_size5",NA,NA,NA,NA
"65",1,1,17,"targ0.8_cl_size5_r_size5",102.02438661764,97.2008230417829,1.04962471947159,4255.70966289009
"66",1,2,17,"targ0.8_cl_size5_r_size5",103.39696961967,91.706052144883,1.12748250743928,8919.86690085655
"67",1,4,17,"targ0.8_cl_size5_r_size5",123.639610306789,104.201727432898,1.18654088903093,16090.5964692204
"68",1,8,17,"targ0.8_cl_size5_r_size5",NA,NA,NA,NA
"69",1,1,18,"targ0.8_cl_size5_r_size5",67.1543289325507,64.2028036770981,1.04597190599802,1817.67149853686
"70",1,2,18,"targ0.8_cl_size5_r_size5",109.710678118655,99.7647232241938,1.09969410602293,10263.7988121655
"71",1,4,18,"targ0.8_cl_size5_r_size5",132.225396744416,99.247166206396,1.33228385049743,14985.788489729
