"cost0","cost1","c1_fraction","replicate","metadata","total_length","euclidean","sinuosity","total_cost"
1,3.5,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",135.02438661764,116.931603940081,1.15472962029008,8556.0645706777
1,4,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",120.710678118655,106.526991884686,1.13314640715024,9551.14761188083
1,4.5,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",110.296464556282,82.8070045346407,1.33197022614363,5337.56963398298
1,5,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",120.39696961967,101.257098516598,1.18902251183837,6929.86822546368
1,5.5,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA
1,6,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",130.367532368147,111.400179533069,1.17026321604309,11774.6858491148
1,1,0.6,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",107.195959492893,100.955435712992,1.06181463866535,6902.70201260088
1,1.5,0.6,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",68.9827560572969,65.7951365983839,1.04844764558162,2249.18078401428
1,2,0.6,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA
1,2.5,0.6,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",95.5685424949238,83.815273071201,1.14022825426743,5694.07307307269
1,3,0.6,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",99.1543289325507,84.9588135510378,1.16708702473799,7019.3898577367
1,3.5,0.6,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",102.497474683058,82.8070045346407,1.2377874946579,5151.73459700396
1,4,0.6,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA
1,4.5,0.6,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",131.78174593052,113.357840487546,1.16252872640952,13195.7571936415
